需求编号,需求描述,Unnamed: 2,Unnamed: 3,Unnamed: 4,对应功能项,Unnamed: 6,Unnamed: 7,Unnamed: 8,测试用例编号,测试用例名称,预置条件,操作步骤,预期输出,重要级别,测试类型,适用阶段,测试结果,最近执行人,备注
69,管理系统,日志管理,应用日志,第三方软件应用日志,日志管理,告警日志,,,TC_69_1_2,所有软件告警都会同步触发告警日志，且数量一致,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看软件告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.软件告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
69,管理系统,日志管理,应用日志,第三方软件应用日志,日志管理,告警日志,,,TC_69_1_3,所有位置告警都会同步触发告警日志，且数量一致,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看位置告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.位置告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
69,管理系统,日志管理,应用日志,第三方软件应用日志,日志管理,告警日志,,,TC_69_1_4,所有任务告警都会同步触发告警日志，且数量一致,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看任务告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.任务告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
70,管理系统,日志管理,日志导出,,日志管理,告警日志,导出日志,,TC_70_1_1,在告警日志界面，点击导出日志,1.服务端运行正常,"1.登录服务器
2.点击日志管理-告警日志
3.点击导出日志
4.在本地查看是否会导出日志文件",4.本地会导出excel文件，且内容一致,1.0,功能测试,系统测试阶段,通过,,
71        ,,系统密钥管理,主密钥管理,平台敏感数据保护，密钥备份保护,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
72        ,,,传输密钥管理,终端和服务之间数据加密,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
73        ,,,密钥异常管理,服务端加密数据、解密数据出现的异常信息,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
74        ,,,密钥备份管理,可备份传输密码，支持加密选项,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,激活设备,,,TC_75_1_1,管理员在服务端激活设备，客户端自动重启机器后，agent将配置文件通过host_info传给bios，BIOS激活agent守护服务成功，服务器更新激活状态为已激活,"1.客户端与服务端网络通信正常;
2.客户端已安装agent;
3.持久化功能未激活;","1.客户端登录激活地址（例如192.168.60.70:8888）
2.输入激活码，点击确定
3.填写设备名称和设备位置描述，点击保存
4.客户端自动下载server文件，自动重启
5.进入BIOS“安全”界面，查看“守护功能开关”的状态;
6.客户端进入OS后，进入服务端查看客户端激活状态，并查看激活日志;","5.“守护功能开关”显示“已激活”，BIOS激活agent守护服务成功;
6. 服务端显示客户端状态已激活，服务端显示客户端激活成功日志;",1.0,功能测试,系统测试阶段,通过,,
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,激活设备,注销设备,,TC_75_1_2,在激活设备界面，勾选任意记录，点击“从设备列表删除”，操作成功，不能在“设备列表”查看到该设备,"1.客户端与服务端网络通信正常;
2.存在一台已安装agent软件但未激活的设备
3.服务端可以正常登陆","1.登陆服务端界面
2.点击设备管理-添加设备
3.勾选任意一台待激活的设备，点击“从设备列表删除”
4.在设备列表根目录查看是否存在该设备",4.被删除的设备不会在添加设备中显示,1.0,功能测试,系统测试阶段,通过,,
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,激活设备,,,TC_75_1_3,设备在管理系统中具有全局唯一的标识,"1.服务端可以正常登陆
2.存在激活的设备A","1.登录管理系统数据库
2.查看设备是否具有全局唯一的标识",2.设备在管理系统中具有全局唯一的标识 agent id ,1.0,功能测试,系统测试阶段,通过,,
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,注销设备,,,TC_75_1_4,在设备管理界面，勾选任意记录，点击“注销设备”，操作成功，在“设备列表”不能查看到该设备,"1.服务端可以正常登陆
2.服务端上存在被管理的激活设备
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击设备管理
3.勾选任意一台设备，点击注销设备",3.在“设备列表”不能查看到该设备,1.0,功能测试,系统测试阶段,通过,,
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,注销设备,,,TC_75_1_5,设备被注销后，可以在激活设备界面看到该设备，且可以被再次激活,"1.服务端可以正常登陆
2.服务端上存在被管理的激活设备
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击设备管理
3.勾选任意一台设备，点击注销设备
4.点击设备",3.在“设备列表”不能查看到该设备,1.0,功能测试,系统测试阶段,通过,,
76,OS Agent,设备信息上送,设备硬件信息,计算机名|计算机制造商|CPU信息|内存大小|硬盘类型&大小|IP地址|,设备管理,设备详情,,,TC_76_1_1,对设备硬件进行更换、新增或者拔掉（例如：硬盘、内存等设备），在设备详情界面，设备信息一栏显示正确无误，且与实际一致（对设备列表进行抽样查询）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.关闭客户机，更换硬盘或内存
4.开启客户端设备，登陆服务端界面
5.点击设备管理，选择指定的客户端设备，点击查看详情",5.设备信息应有变化（更换硬盘则硬盘信息有变化，更换内存则内存大小有变化）,1.0,功能测试,系统测试阶段,通过,,
76,OS Agent,设备信息上送,设备硬件信息,计算机名|计算机制造商|CPU信息|内存大小|硬盘类型&大小|IP地址|,设备管理,设备详情,,,TC_76_1_2,设备未设置守护策略，在设备详情界面，“守护策略”显示内容为“设备未设置守护策略”,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端设备未设置守护策略","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.观察“守护策略”信息",3，显示设备未设置守护策略信息,2.0,功能测试,系统测试阶段,通过,,
76,OS Agent,设备信息上送,设备硬件信息,计算机名|计算机制造商|CPU信息|内存大小|硬盘类型&大小|IP地址|,设备管理,设备详情,,,TC_76_1_3,设备消除告警，在设备详情界面，告警信息一栏显示正确无误，且与实际一致（硬件告警、软件告警、任务告警和位置告警都要覆盖）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端上存在任何告警","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.客户端确认“告警信息”信息
4.点击告警信息，分别选择硬件告警，软件告警，位置告警，任务告警，找到指定的客户机，找到告警去处理
5.客户端确认“告警信息”信息","3.“告警信息”一栏所有告警数量都不为0
4.把指定客户机的所有告警处理完成，告警信息在告警信息中消失
5.“告警信息”一栏所有告警类型显示为0",2.0,功能测试,系统测试阶段,通过,,
77,OS Agent,设备信息上送,操作系统信息,操作系统名称|操作系统版本|安装日期|补丁版本,设备管理,设备详情,,,TC_77_1_1,对设备硬件进行更换、新增或者拔掉（例如：硬盘、内存等设备），在设备详情界面，设备信息一栏显示正确无误，且与实际一致（对设备列表进行抽样查询）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.关闭客户机，更换硬盘或内存
4.开启客户端设备，登陆服务端界面
5.点击设备管理，选择指定的客户端设备，点击查看详情",5.设备信息应有变化（更换硬盘则硬盘信息有变化，更换内存则内存大小有变化）,1.0,功能测试,系统测试阶段,通过,,
77,OS Agent,设备信息上送,操作系统信息,操作系统名称|操作系统版本|安装日期|补丁版本,设备管理,设备详情,,,TC_77_1_2,设备未设置守护策略，在设备详情界面，“守护策略”显示内容为“设备未设置守护策略”,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端设备未设置守护策略","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.观察“守护策略”信息",3，显示设备未设置守护策略信息,2.0,功能测试,系统测试阶段,通过,,
77,OS Agent,设备信息上送,操作系统信息,操作系统名称|操作系统版本|安装日期|补丁版本,设备管理,设备详情,,,TC_77_1_3,设备消除告警，在设备详情界面，告警信息一栏显示正确无误，且与实际一致（硬件告警、软件告警、任务告警和位置告警都要覆盖）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端上存在任何告警","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.客户端确认“告警信息”信息
4.点击告警信息，分别选择硬件告警，软件告警，位置告警，任务告警，找到指定的客户机，找到告警去处理
5.客户端确认“告警信息”信息","3.“告警信息”一栏所有告警数量都不为0
4.把指定客户机的所有告警处理完成，告警信息在告警信息中消失
5.“告警信息”一栏所有告警类型显示为0",2.0,功能测试,系统测试阶段,通过,,
78,OS Agent,设备信息上送,持久化守护软件信息,软件名称|软件版本|补丁版本|安装日期|授权到期时间|软件启动&关闭时间,设备管理,设备详情,,,TC_78_1_1,对设备硬件进行更换、新增或者拔掉（例如：硬盘、内存等设备），在设备详情界面，设备信息一栏显示正确无误，且与实际一致（对设备列表进行抽样查询）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.关闭客户机，更换硬盘或内存
4.开启客户端设备，登陆服务端界面
5.点击设备管理，选择指定的客户端设备，点击查看详情",5.设备信息应有变化（更换硬盘则硬盘信息有变化，更换内存则内存大小有变化）,1.0,功能测试,系统测试阶段,通过,,
78,OS Agent,设备信息上送,持久化守护软件信息,软件名称|软件版本|补丁版本|安装日期|授权到期时间|软件启动&关闭时间,设备管理,设备详情,,,TC_78_1_2,设备未设置守护策略，在设备详情界面，“守护策略”显示内容为“设备未设置守护策略”,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端设备未设置守护策略","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.观察“守护策略”信息",3，显示设备未设置守护策略信息,2.0,功能测试,系统测试阶段,通过,,
78,OS Agent,设备信息上送,持久化守护软件信息,软件名称|软件版本|补丁版本|安装日期|授权到期时间|软件启动&关闭时间,设备管理,设备详情,,,TC_78_1_3,设备消除告警，在设备详情界面，告警信息一栏显示正确无误，且与实际一致（硬件告警、软件告警、任务告警和位置告警都要覆盖）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端上存在任何告警","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.客户端确认“告警信息”信息
4.点击告警信息，分别选择硬件告警，软件告警，位置告警，任务告警，找到指定的客户机，找到告警去处理
5.客户端确认“告警信息”信息","3.“告警信息”一栏所有告警数量都不为0
4.把指定客户机的所有告警处理完成，告警信息在告警信息中消失
5.“告警信息”一栏所有告警类型显示为0",2.0,功能测试,系统测试阶段,通过,,
79,OS Agent,设备信息上送,设备位置信息,IP地址的位置信息,设备管理,设备详情,,,TC_79_1_1,对设备硬件进行更换、新增或者拔掉（例如：硬盘、内存等设备），在设备详情界面，设备信息一栏显示正确无误，且与实际一致（对设备列表进行抽样查询）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.关闭客户机，更换硬盘或内存
4.开启客户端设备，登陆服务端界面
5.点击设备管理，选择指定的客户端设备，点击查看详情",5.设备信息应有变化（更换硬盘则硬盘信息有变化，更换内存则内存大小有变化）,1.0,功能测试,系统测试阶段,通过,,
79,OS Agent,设备信息上送,设备位置信息,IP地址的位置信息,设备管理,设备详情,,,TC_79_1_2,设备未设置守护策略，在设备详情界面，“守护策略”显示内容为“设备未设置守护策略”,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端设备未设置守护策略","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.观察“守护策略”信息",3，显示设备未设置守护策略信息,2.0,功能测试,系统测试阶段,通过,,
79,OS Agent,设备信息上送,设备位置信息,IP地址的位置信息,设备管理,设备详情,,,TC_79_1_3,设备消除告警，在设备详情界面，告警信息一栏显示正确无误，且与实际一致（硬件告警、软件告警、任务告警和位置告警都要覆盖）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端上存在任何告警","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.客户端确认“告警信息”信息
4.点击告警信息，分别选择硬件告警，软件告警，位置告警，任务告警，找到指定的客户机，找到告警去处理
5.客户端确认“告警信息”信息","3.“告警信息”一栏所有告警数量都不为0
4.把指定客户机的所有告警处理完成，告警信息在告警信息中消失
5.“告警信息”一栏所有告警类型显示为0",2.0,功能测试,系统测试阶段,通过,,
80        ,OS Agent,设备安全管控策略执行,违规外联处理,安全策略解析（定义报文格式）,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
81        ,OS Agent,设备安全管控策略执行,远程操作策略响应,响应远程开机|关机|重启|时间同步|数据传送|数据删除|软件安装|软件卸载|屏幕锁定|屏幕解锁|USB端口锁定|USB端口解锁|IP地址锁定|IP地址解锁,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
82,OS Agent,软件持久化守护,防关闭,,软件管理,守护策略,创建策略,,TC_82_1_1,,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.使用鼠标拖动弹窗",3.拖动过程无明显卡顿，且内容显示正常,2.0,功能测试,系统测试阶段,通过,,
82,OS Agent,软件持久化守护,防关闭,,软件管理,守护策略,创建策略,,TC_82_1_2,打开创建策略界面，“软件名称”选择任意枚举值，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“软件名称”选择任意枚举值，其他参数填写正确，点击提交（遍历所有已存在软件）",3.策略配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
82,OS Agent,软件持久化守护,防关闭,,软件管理,守护策略,创建策略,,TC_82_1_3,打开创建策略界面，“备注”输入任意字符（数字、字母、特殊字符等），其他参数填写正确，点击提交添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“备注”输入任意字符（数字、字母、特殊字符等），其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
82,OS Agent,软件持久化守护,防关闭,,软件管理,守护策略,创建策略,,TC_82_1_4,打开创建策略界面，“防止关闭”设置为ON，“目录或文件路径”可以编辑，但不输入，其他参数填写正确，点击提交添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“防止关闭”设置为ON，“目录或文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
82,OS Agent,软件持久化守护,防关闭,,软件管理,守护策略,创建策略,,TC_82_1_5,打开编辑策略界面，“策略名称”长度为最大长度（254个字节），其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“策略名称”输入等于254字节信息，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
82,OS Agent,软件持久化守护,防关闭,,软件管理,守护策略,创建策略,,TC_82_1_6,打开编辑策略界面，“防止关闭”可以修改为ON或者OFF，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止关闭”可以修改为ON或者OFF，点击提交",4.“目录或文件路径”不能编辑,1.0,功能测试,系统测试阶段,通过,,
83,OS Agent,软件持久化守护,防删除,,软件管理,守护策略,创建策略,,TC_83_1_1,打开创建策略界面，“软件名称”选择任意枚举值，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“软件名称”选择任意枚举值，其他参数填写正确，点击提交（遍历所有已存在软件）",3.策略配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
83,OS Agent,软件持久化守护,防删除,,软件管理,守护策略,创建策略,,TC_83_1_2,打开创建策略界面，“防止删除”设置为ON，点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“点击+符号可以生成多个“目录或文件路径”和“排除目录和文件路径”，输入合法路径，多个路径使用|分割，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
83,OS Agent,软件持久化守护,防删除,,软件管理,守护策略,创建策略,,TC_83_1_3,打开编辑策略界面，“策略名称”长度为最大长度（254个字节），其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“策略名称”输入等于254字节信息，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
83,OS Agent,软件持久化守护,防删除,,软件管理,守护策略,创建策略,,TC_83_1_4,打开编辑策略界面，“防止删除”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，输入为空，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止删除”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
84,OS Agent,软件持久化守护,可恢复,恢复策略,软件管理,守护策略,创建策略,,TC_84_1_1,打开创建策略界面，“软件名称”选择任意枚举值，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“软件名称”选择任意枚举值，其他参数填写正确，点击提交（遍历所有已存在软件）",3.策略配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
84,OS Agent,软件持久化守护,可恢复,恢复策略,软件管理,守护策略,创建策略,,TC_84_1_2,打开创建策略界面，“防止关闭”设置为ON，“目录或文件路径”可以编辑，但不输入，其他参数填写正确，点击提交添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“防止关闭”设置为ON，“目录或文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
84,OS Agent,软件持久化守护,可恢复,恢复策略,软件管理,守护策略,创建策略,,TC_84_1_3,打开编辑策略界面，“策略名称”长度为最大长度（254个字节），其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“策略名称”输入等于254字节信息，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
84,OS Agent,软件持久化守护,可恢复,恢复策略,软件管理,守护策略,创建策略,,TC_84_1_4,打开编辑策略界面，“防止关闭”可以修改为ON或者OFF，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止关闭”可以修改为ON或者OFF，点击提交",4.“目录或文件路径”不能编辑,1.0,功能测试,系统测试阶段,通过,,
85,OS Agent,守护策略设置,,接受服务端下发的安全守护策略并设置。,软件管理,守护策略,部署策略,,TC_85_1_1,在守护策略页面，勾选多个策略，点击部署策略，操作成功,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选多个策略，点击部署策略",3.操作成功,2.0,功能测试,系统测试阶段,通过,,
85,OS Agent,守护策略设置,,接受服务端下发的安全守护策略并设置。,软件管理,守护策略,部署策略,,TC_85_1_2,在部署策略界面，勾选任意一个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选指定策略，点击策略部署
4.勾选指定的设备，点击部署策略",4.策略部署成功，且守护策略在客户端生效,1.0,功能测试,系统测试阶段,通过,,
86,OS Agent,软件下载,,根据守护策略，如果本机没有策略中需要守护的软件，再根据守护策略从服务器下载相应软件。,软件管理,守护策略,部署策略,,TC_86_1_1,在部署策略界面，勾选多个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选指定策略，点击策略部署
4.勾选多个指定的设备，点击部署策略",4.策略部署成功，且守护策略在所有客户端生效,1.0,功能测试,系统测试阶段,通过,,
86,OS Agent,软件下载,,根据守护策略，如果本机没有策略中需要守护的软件，再根据守护策略从服务器下载相应软件。,软件管理,守护策略,部署策略,,TC_86_1_2,在策略部署界面，勾选一个在线已部署策略的设备，点击取消部署，取消部署成功,"1.服务端可以正常登陆
2.守护策略已经部署","1.登陆服务端界面
2.点击守护策略，在策略列表中，勾选1个已部署的策略，点击“部署策略”
3.弹出部署策略窗口后，勾选一个在线设备，点击取消部署",3.取消部署成功,1.0,功能测试,系统测试阶段,通过,,
87,OS Agent,软件安装,,安全守护代理将已下载软件安装至本机。,软件管理,守护策略,创建策略,,TC_87_1_1,打开创建策略界面，“软件名称”选择任意枚举值，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“软件名称”选择任意枚举值，其他参数填写正确，点击提交（遍历所有已存在软件）",3.策略配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
87,OS Agent,软件安装,,安全守护代理将已下载软件安装至本机。,软件管理,守护策略,创建策略,,TC_87_1_2,打开创建策略界面，“备注”输入任意字符（数字、字母、特殊字符等），其他参数填写正确，点击提交添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“备注”输入任意字符（数字、字母、特殊字符等），其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
88,OS Agent,软件启动,,被保护程序可在客户端自动启动。,软件管理,守护策略,创建策略,,TC_88_1_1,打开创建策略界面，“备注”输入任意字符（数字、字母、特殊字符等），其他参数填写正确，点击提交添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“备注”输入任意字符（数字、字母、特殊字符等），其他参数填写正确，点击提交",3.策略创建成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
88,OS Agent,软件启动,,被保护程序可在客户端自动启动。,软件管理,守护策略,创建策略,,TC_88_1_2,打开编辑策略界面，“策略名称”长度为最大长度（254个字节），其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“策略名称”输入等于254字节信息，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
89        ,OS Agent,服务器通信,,安全守护代理与服务器完成通信功能。,软件管理,守护策略,部署策略,,TC_89_1_1,在部署策略界面，勾选多个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,,,,,,,通过,,
90,OS Agent,日志记录,,将守护过程中的操作行为进行记录。,日志管理,告警日志,,,TC_90_1_1,所有硬件告警都会同步触发告警日志，且数量一致（告警日志状态为发送和处理完成）,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看设备告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.设备告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
90,OS Agent,日志记录,,将守护过程中的操作行为进行记录。,日志管理,告警日志,,,TC_90_1_2,所有软件告警都会同步触发告警日志，且数量一致,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看软件告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.软件告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
91,,远程协助,,,远程协助,,,,TC_91_1_1,在远程协助界面，勾选设备列表任意一个在线设备，点击远程关机，操作成功,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.客户端开机
2.登陆服务端界面，点击远程协助
3.勾选设备A（在线状态），点击远程关机",3.设备远程关机成功,1.0,功能测试,系统测试阶段,通过,,
91,,远程协助,,,远程协助,,,,TC_91_1_2,在远程协助界面，勾选设备列表任意一个在线设备，点击远程重启，操作成功,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.客户端开机
2.登陆服务端界面，点击远程协助
3.勾选设备A（在线状态），点击远程重启",3.设备远程重启成功,1.0,功能测试,系统测试阶段,通过,,
92        ,bios,守护开关,,,,,,,,,,,,,,,通过,,
93        ,,客户端代理检测,,,,,,,,,,,,,,,通过,,
94        ,,客户端代理恢复,,,,,,,,,,,,,,,通过,,
